timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
MSG	2019-06-15 13:31:47.417	473036755	start_recording
MSG	2019-06-15 13:31:47.418	473036755	image_on
MSG	2019-06-15 13:31:47.418	473036755	advertisment.jpg
2019-06-15 13:31:47.760	473037488	True	7	1023.7184	667.5668	961.0842	745.9264	25.27875	920.8627	639.424	867.3691	709.261	23.9169	0.4847	0.2986	1126.5741	695.7097	1074.344	757.1063	26.6406	0.6947	0.2799
2019-06-15 13:31:47.793	473037521	True	7	1021.2285	658.7299	967.004	740.6262	24.84025	914.7287	632.5027	871.0641	703.552	23.4036	0.4828	0.2996	1127.7284	684.9569	1078.399	751.6251	26.2769	0.6928	0.2805
2019-06-15 13:31:47.827	473037555	True	7	1150.8774	684.7401	971.6396	735.0779	23.93465	1063.2002	641.3049	1063.2002	641.3049	22.5345	0.483	0.3015	1238.5546	728.1754	1238.5546	728.1754	25.3348	0.6925	0.2823
2019-06-15 13:31:47.860	473037588	False	7	1448.6033	830.4235	1448.6033	830.4235	24.0322	1388.2888	811.2136	1388.2888	811.2136	22.6521	0.4857	0.303	1508.9177	849.6332	1508.9177	849.6332	25.4123	0.6948	0.2834
2019-06-15 13:31:47.893	473037621	False	7	1453.6997	828.4834	1451.1547	829.4521	23.6848	1387.293	816.9771	1387.7903	814.0991	22.4515	0.4852	0.3028	1520.1064	839.9897	1514.5192	844.8053	24.9181	0.6946	0.2836
2019-06-15 13:31:47.927	473037655	False	7	1445.5977	827.4214	1463.4603	832.2277	23.542650000000002	1380.9017	813.0206	1385.4834	813.743	22.3148	0.485	0.3043	1510.2937	841.8222	1513.1143	843.7986	24.7705	0.6945	0.285
2019-06-15 13:31:47.960	473037688	False	7	1458.554	832.7064	1466.3204	833.0798	23.26065	1403.813	817.1923	1390.0974	814.6153	21.9311	0.4849	0.3039	1513.2948	848.2204	1513.1615	844.9041	24.5902	0.6945	0.2849
2019-06-15 13:31:47.993	473037721	False	7	1456.5979	823.0697	1462.9891	831.9305	23.23995	1387.5105	802.3103	1389.5928	812.1237	21.8252	0.4848	0.3038	1525.6853	843.8291	1515.7062	844.6847	24.6547	0.6945	0.2848
2019-06-15 13:31:48.027	473037755	False	7	1406.1257	874.8459	1460.4116	831.6187	23.3221	1349.1388	856.4262	1349.1388	856.4262	21.9743	0.4841	0.3041	1463.1125	893.2656	1463.1125	893.2656	24.6699	0.6938	0.2856
2019-06-15 13:31:48.060	473037788	False	7	1420.8226	863.8972	1420.8226	863.8972	23.41285	1364.9275	850.149	1364.9275	850.149	22.1201	0.4837	0.3038	1476.7178	877.6455	1476.7178	877.6455	24.7056	0.6934	0.2854
2019-06-15 13:31:48.093	473037821	False	7	1405.9114	871.3522	1413.3573	867.6294	24.0365	1347.3022	853.2885	1356.1036	851.7207	22.7985	0.4827	0.3049	1464.5204	889.4159	1470.6113	883.5382	25.2745	0.6923	0.2864
2019-06-15 13:31:48.126	473037854	False	7	1412.1333	863.2711	1421.6423	869.406	24.2271	1355.7766	844.757	1355.9792	849.3923	22.9042	0.4811	0.3066	1468.4899	881.7853	1469.8909	882.9614	25.55	0.6908	0.2879
2019-06-15 13:31:48.160	473037888	False	7	1414.7065	870.563	1416.4022	867.8568	23.96405	1365.1652	846.3989	1358.2847	848.6304	22.6829	0.479	0.3064	1464.2478	894.7271	1468.457	885.9344	25.2452	0.6885	0.287
2019-06-15 13:31:48.193	473037921	False	7	1407.6665	870.2461	1417.829	868.689	24.22195	1351.1853	853.0945	1356.848	849.5269	22.9113	0.4767	0.308	1464.1476	887.3976	1467.5652	886.2535	25.5326	0.6862	0.2876
2019-06-15 13:31:48.226	473037954	False	7	1423.1309	869.0338	1414.7059	867.8273	24.41575	1367.3599	855.9674	1358.6331	850.6246	23.0429	0.4747	0.3066	1478.9019	882.1001	1469.4775	885.5659	25.7886	0.6843	0.2857
2019-06-15 13:31:48.259	473037987	True	7	1365.3147	1005.2417	1413.88	868.2343	25.74895	1274.3251	947.9179	1346.2018	864.9963	24.8164	0.4716	0.3079	1456.3043	1062.5656	1456.3043	1062.5656	26.6815	0.6821	0.2882
2019-06-15 13:31:48.293	473038021	False	7	0.0	0.0	0.0	0.0	24.735950000000003	0.0	0.0	0.0	0.0	24.8899	0.4675	0.3139	0.0	0.0	0.0	0.0	24.582	0.6775	0.295
2019-06-15 13:31:48.326	473038054	False	7	858.6411	1648.3035	858.6411	1648.3035	25.96495	0.0	0.0	0.0	0.0	25.3449	0.4622	0.3194	858.6411	1648.3035	858.6411	1648.3035	26.585	0.6703	0.2987
MSG	2019-06-15 13:31:50.285	473038054	image_off
2019-06-15 13:31:48.359	473038087	False	7	1523.9133	1628.7268	1414.6564	875.3473	26.262349999999998	1523.9133	1628.7268	1523.9133	1628.7268	24.7725	0.4592	0.3185	0.0	0.0	0.0	0.0	27.7522	0.6665	0.2973
MSG	2019-06-15 13:31:50.332	473038087	stop_recording
